frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
116,-0.115,328.114,320.0,-0.013,0.06,17.355
117,-0.123,328.894,320.0,0.011,0.06,17.336
118,-0.133,329.74,320.0,0.017,0.06,17.443
119,-0.142,330.358,320.0,0.019,0.06,17.656
120,-0.145,329.729,320.0,0.001,0.06,17.836
121,-0.118,327.42,320.0,-0.041,0.059,17.982
122,-0.116,327.614,320.0,-0.002,0.06,17.766
123,-0.127,329.032,320.0,0.014,0.06,17.78
124,-0.137,329.601,320.0,0.014,0.06,17.95
125,-0.135,329.583,320.0,-0.003,0.06,18.102
126,-0.125,328.788,320.0,-0.014,0.06,18.216
127,-0.127,329.161,320.0,0.003,0.06,18.146
128,-0.132,329.612,320.0,0.008,0.06,18.2
129,-0.135,329.745,320.0,0.005,0.06,18.358
130,-0.136,329.585,320.0,0.001,0.06,18.422
131,-0.13,329.195,320.0,-0.008,0.06,18.497
132,-0.13,329.144,320.0,-0.001,0.06,18.57
133,-0.131,329.358,320.0,0.003,0.06,18.582
134,-0.133,329.461,320.0,0.003,0.06,18.634
135,-0.145,330.875,320.0,0.02,0.06,18.728
136,-0.148,330.846,320.0,0.005,0.06,18.923
137,-0.134,329.53,320.0,-0.019,0.06,19.028
138,-0.123,328.742,320.0,-0.008,0.06,18.893
139,-0.124,329.297,320.0,0.0,0.06,18.901
140,-0.107,327.957,320.0,-0.029,0.059,18.955
141,-0.121,329.234,320.0,0.017,0.06,18.85
142,-0.14,330.773,320.0,0.035,0.059,18.927
143,-0.146,330.71,320.0,0.014,0.06,19.258
144,-0.133,329.112,320.0,-0.027,0.06,19.413
145,-0.122,327.922,320.0,-0.019,0.06,19.256
146,-0.121,328.778,320.0,-0.001,0.06,19.091
147,-0.145,330.872,320.0,0.044,0.059,19.15
148,-0.161,331.696,320.0,0.044,0.059,19.401
149,-0.149,329.733,320.0,-0.031,0.059,19.866
150,-0.088,323.74,320.0,-0.066,0.059,19.772
151,-0.062,323.401,320.0,-0.012,0.06,19.28
152,-0.108,328.188,320.0,0.045,0.059,19.127
153,-0.155,331.349,320.0,0.134,0.058,19.444
154,-0.163,330.339,320.0,0.031,0.059,20.031
155,-0.085,321.165,320.0,-0.119,0.058,20.592
156,0.046,311.952,320.0,-0.039,0.059,20.293
157,0.056,313.181,320.0,-0.012,0.06,19.87
158,0.039,315.429,320.0,0.016,0.06,19.876
159,0.023,316.472,320.0,0.0,0.06,20.144
160,0.069,314.801,320.0,0.0,0.06,20.159
161,0.085,313.516,320.0,0.0,0.06,20.225
162,0.081,313.857,320.0,0.0,0.06,20.24
163,0.077,314.151,320.0,0.0,0.06,20.323
164,0.073,314.436,320.0,0.0,0.06,20.37
165,0.066,315.099,320.0,0.0,0.06,20.399
166,0.079,314.068,320.0,0.0,0.06,20.458
167,0.074,314.566,320.0,0.0,0.06,20.452
168,0.07,314.827,320.0,0.0,0.06,20.548
169,0.065,315.252,320.0,0.0,0.06,20.588
170,0.038,317.744,320.0,0.0,0.06,20.589
171,0.029,318.289,320.0,0.0,0.06,20.689
172,0.029,318.263,320.0,0.0,0.06,20.709
173,0.029,318.246,320.0,0.0,0.06,20.75
174,0.028,318.331,320.0,0.0,0.06,20.798
175,0.025,318.198,320.0,0.0,0.06,20.783
176,0.024,318.314,320.0,0.0,0.06,20.859
177,0.02,318.727,320.0,0.0,0.06,20.918
178,0.014,319.172,320.0,0.0,0.06,20.94
