frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.039,304.528,240.0,0.15,0.05,0.003
1,-0.152,304.709,239.995,0.228,0.05,0.534
2,-0.081,305.096,239.925,0.078,0.05,1.315
3,-0.023,302.983,239.873,-0.072,0.05,2.256
4,0.004,302.626,239.854,-0.136,0.05,2.93
5,-0.002,304.391,240.0,0.014,0.05,3.585
6,-0.204,310.324,240.037,0.164,0.05,4.758
7,-0.142,309.167,240.061,0.014,0.05,5.303
8,-0.081,306.18,240.075,-0.058,0.05,5.635
9,-0.05,305.408,240.088,-0.085,0.05,5.847
10,-0.087,310.371,240.0,0.065,0.05,6.065
11,-0.239,313.794,240.016,0.105,0.05,6.624
12,-0.167,312.076,239.992,0.004,0.05,6.967
13,-0.117,310.045,240.014,-0.028,0.05,7.143
14,-0.099,309.973,240.019,-0.034,0.05,7.165
15,-0.133,313.924,240.0,0.116,0.05,7.315
16,-0.272,316.823,240.021,0.054,0.05,7.719
17,-0.19,313.879,240.06,-0.02,0.05,7.954
18,-0.144,312.444,240.078,-0.004,0.05,7.987
19,-0.123,312.066,240.093,-0.029,0.05,8.071
20,-0.111,310.461,240.0,-0.045,0.05,8.152
21,-0.208,310.461,240.0,0.06,0.05,8.217
22,-0.143,310.461,240.0,-0.0,0.05,8.449
23,-0.12,310.461,240.0,-0.029,0.05,8.522
24,-0.112,310.461,240.0,-0.012,0.05,8.481
25,-0.171,318.022,240.0,0.138,0.05,8.533
26,-0.282,318.579,240.021,0.029,0.05,8.86
27,-0.188,315.019,240.03,-0.019,0.05,8.961
28,-0.131,313.086,240.044,-0.041,0.05,8.9
29,-0.124,314.07,240.035,-0.012,0.05,8.847
30,-0.137,314.103,240.0,-0.012,0.05,8.911
31,-0.251,315.044,240.002,0.025,0.05,8.954
32,-0.197,315.211,240.002,0.005,0.05,9.116
33,-0.168,314.354,239.99,0.005,0.05,9.134
34,-0.155,314.064,239.964,0.005,0.05,9.161
35,-0.151,313.551,240.0,0.021,0.05,9.206
36,-0.236,313.191,240.025,0.012,0.05,9.298
37,-0.158,311.947,240.024,0.005,0.05,9.413
38,-0.119,310.979,240.017,-0.057,0.05,9.351
39,-0.109,311.323,240.007,-0.021,0.05,9.248
40,-0.126,313.489,240.0,0.016,0.05,9.275
41,-0.253,315.248,240.0,0.04,0.05,9.33
42,-0.187,314.128,239.976,0.003,0.05,9.512
43,-0.149,312.97,239.981,0.002,0.05,9.467
44,-0.137,313.028,239.98,-0.01,0.05,9.469
45,-0.133,312.367,240.0,0.008,0.05,9.451
46,-0.233,312.822,240.0,0.029,0.05,9.499
47,-0.157,311.669,239.999,0.005,0.05,9.576
48,-0.118,310.643,240.0,-0.049,0.05,9.59
49,-0.11,311.06,239.979,-0.015,0.05,9.447
50,-0.124,312.943,240.0,0.024,0.05,9.447
51,-0.24,314.01,239.983,0.041,0.05,9.535
52,-0.163,312.374,239.995,0.004,0.05,9.656
53,-0.122,311.133,239.981,-0.036,0.05,9.71
54,-0.097,310.31,240.016,-0.057,0.05,9.553
55,-0.121,313.086,240.0,0.058,0.05,9.505
56,-0.273,316.813,239.995,0.077,0.05,9.544
57,-0.194,314.003,239.97,-0.026,0.05,9.78
58,-0.126,310.883,239.974,-0.027,0.05,9.621
59,-0.121,312.322,239.978,-0.005,0.05,9.581
60,-0.131,312.914,240.0,0.032,0.05,9.566
61,-0.233,313.289,240.023,0.032,0.05,9.697
62,-0.146,311.126,240.014,-0.001,0.05,9.793
63,-0.102,310.053,240.012,-0.079,0.05,9.809
64,-0.091,310.35,240.033,-0.03,0.05,9.529
65,-0.129,314.61,240.0,0.096,0.05,9.557
66,-0.263,316.526,239.992,0.046,0.05,9.687
67,-0.173,313.26,239.997,-0.007,0.05,9.818
68,-0.121,311.576,240.01,-0.041,0.05,9.825
69,-0.117,312.714,240.009,-0.004,0.05,9.598
70,-0.13,313.121,240.0,0.03,0.05,9.651
71,-0.23,313.1,239.976,0.034,0.05,9.732
72,-0.142,310.977,239.965,-0.007,0.05,9.913
73,-0.104,310.381,239.963,-0.069,0.05,9.79
74,-0.094,310.678,239.965,-0.025,0.05,9.599
75,-0.132,314.662,240.0,0.093,0.05,9.617
76,-0.254,315.766,239.996,0.033,0.05,9.784
77,-0.168,313.079,240.004,0.003,0.05,9.886
78,-0.118,311.457,240.034,-0.048,0.05,9.814
79,-0.101,311.54,240.016,-0.038,0.05,9.724
80,-0.133,314.441,240.0,0.076,0.05,9.608
81,-0.284,318.02,239.978,0.075,0.05,9.713
82,-0.192,314.103,239.988,-0.041,0.05,10.006
83,-0.122,310.952,239.995,-0.041,0.05,9.768
84,-0.126,313.281,239.99,0.013,0.05,9.708
85,-0.156,315.732,240.0,0.077,0.05,9.705
86,-0.232,313.741,240.034,0.007,0.05,9.956
87,-0.127,310.534,240.025,-0.042,0.05,9.931
88,-0.088,310.4,240.027,-0.102,0.05,9.848
89,-0.109,313.139,240.02,0.048,0.05,9.548
90,-0.175,319.372,240.0,0.128,0.05,9.634
91,-0.23,314.915,240.004,0.005,0.05,10.131
92,-0.103,309.976,240.017,-0.118,0.05,10.105
93,-0.06,310.138,240.044,-0.159,0.05,9.745
94,-0.104,314.988,240.04,-0.009,0.05,9.401
95,-0.216,324.906,240.0,0.141,0.05,9.429
96,-0.349,326.268,240.006,0.173,0.05,9.7
97,-0.245,320.558,239.977,0.023,0.05,10.23
98,-0.111,312.558,239.965,-0.124,0.05,10.17
99,-0.041,310.254,239.999,-0.274,0.05,9.821
100,0.013,298.873,240.0,-0.334,0.05,9.229
101,-0.109,298.873,240.0,-0.184,0.05,7.25
102,-0.031,298.873,240.0,-0.194,0.05,7.069
103,-0.004,298.873,240.0,-0.119,0.05,6.704
104,0.006,298.873,240.0,-0.048,0.05,6.477
105,0.007,298.873,240.0,-0.01,0.05,6.598
106,-0.111,298.873,240.0,0.14,0.05,6.533
107,-0.146,309.479,240.326,0.007,0.05,6.882
108,-0.166,148.828,79.674,0.003,0.05,6.841
109,-0.159,309.479,240.326,0.003,0.05,6.672
110,0.002,80.0,80.0,-0.147,0.05,6.998
111,0.002,80.0,80.0,0.0,0.05,6.407
112,0.003,240.0,240.0,0.0,0.05,6.163
113,0.002,80.0,80.0,0.0,0.05,6.225
114,0.003,240.0,240.0,0.0,0.05,6.412
115,0.0,240.0,240.0,0.0,0.05,6.536
116,0.0,240.0,240.0,0.0,0.05,6.942
117,0.0,240.0,240.0,0.0,0.05,7.123
118,0.0,240.0,240.0,0.0,0.05,7.285
119,0.0,240.0,240.0,0.0,0.05,7.363
120,0.0,240.0,240.0,0.0,0.05,7.425
121,0.0,240.0,240.0,0.0,0.05,7.523
122,0.0,240.0,240.0,0.0,0.05,7.713
123,0.0,240.0,240.0,0.0,0.05,7.785
124,0.0,240.0,240.0,0.0,0.05,7.783
125,0.0,240.0,240.0,0.0,0.05,7.668
126,0.0,240.0,240.0,0.0,0.05,7.992
