frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.041,304.688,240.0,0.15,0.05,0.004
1,-0.193,305.069,240.0,0.3,0.05,0.485
2,-0.158,300.751,240.0,0.15,0.05,2.398
3,-0.048,288.713,240.0,0.0,0.05,3.763
4,-0.034,288.713,240.0,-0.059,0.05,4.689
5,-0.032,288.713,240.0,-0.006,0.05,5.412
6,-0.032,288.713,240.0,0.0,0.05,6.091
7,0.195,223.878,239.404,-0.15,0.05,6.668
8,0.024,240.0,240.0,0.0,0.05,6.865
9,0.002,160.0,160.0,0.0,0.05,7.121
10,0.001,160.0,160.0,0.0,0.05,7.343
11,0.0,160.0,160.0,0.0,0.05,7.648
12,0.0,160.0,160.0,0.0,0.05,7.889
13,0.0,240.0,240.0,0.0,0.05,8.048
14,0.0,240.0,240.0,0.0,0.05,8.235
15,0.0,240.0,240.0,0.0,0.05,8.38
16,0.0,240.0,240.0,0.0,0.05,8.577
17,0.0,240.0,240.0,0.0,0.05,8.708
18,0.0,240.0,240.0,0.0,0.05,8.813
19,0.0,240.0,240.0,0.0,0.05,8.949
20,0.0,160.0,160.0,0.0,0.05,9.055
21,0.0,160.0,160.0,0.0,0.05,9.178
22,0.0,160.0,160.0,0.0,0.05,9.191
23,0.0,160.0,160.0,0.0,0.05,9.256
24,0.0,240.0,240.0,0.0,0.05,9.415
25,0.0,240.0,240.0,0.0,0.05,9.394
26,0.0,240.0,240.0,0.0,0.05,9.462
27,0.0,240.0,240.0,0.0,0.05,9.452
28,0.0,240.0,240.0,0.0,0.05,9.561
29,0.0,240.0,240.0,0.0,0.05,9.575
30,0.0,240.0,240.0,0.0,0.05,9.555
31,0.0,160.0,160.0,0.0,0.05,9.637
32,0.0,160.0,160.0,0.0,0.05,9.684
33,0.0,160.0,160.0,0.0,0.05,9.732
34,0.0,160.0,160.0,0.0,0.05,9.745
35,0.0,240.0,240.0,0.0,0.05,9.803
36,0.0,240.0,240.0,0.0,0.05,9.755
