frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.04,304.606,240.0,0.15,0.05,0.001
1,-0.194,305.105,240.0,0.3,0.05,0.531
2,-0.188,303.529,240.0,0.15,0.05,1.819
3,-0.08,292.041,240.0,0.0,0.05,3.429
4,-0.067,292.041,240.0,-0.049,0.05,4.429
5,-0.065,292.041,240.0,-0.004,0.05,5.171
6,-0.065,292.041,240.0,0.002,0.05,5.826
7,0.162,225.532,239.408,-0.148,0.05,6.315
8,0.02,240.0,240.0,0.002,0.05,6.724
9,0.002,160.0,160.0,0.0,0.05,7.026
10,0.001,160.0,160.0,0.0,0.05,7.437
11,0.0,160.0,160.0,0.0,0.05,7.881
12,0.0,160.0,160.0,0.0,0.05,8.172
13,0.0,240.0,240.0,0.0,0.05,8.388
14,0.0,240.0,240.0,0.0,0.05,8.559
15,0.0,240.0,240.0,0.0,0.05,8.735
16,0.0,240.0,240.0,0.0,0.05,8.883
17,0.0,240.0,240.0,0.0,0.05,9.014
18,0.0,240.0,240.0,0.0,0.05,9.103
19,0.0,240.0,240.0,0.0,0.05,9.217
20,0.0,160.0,160.0,0.0,0.05,9.304
21,0.0,160.0,160.0,0.0,0.05,9.375
22,0.0,160.0,160.0,0.0,0.05,9.407
23,0.0,160.0,160.0,0.0,0.05,9.495
24,0.0,240.0,240.0,0.0,0.05,9.573
25,0.0,240.0,240.0,0.0,0.05,9.637
26,0.0,240.0,240.0,0.0,0.05,9.669
27,0.0,240.0,240.0,0.0,0.05,9.691
28,0.0,240.0,240.0,0.0,0.05,9.683
29,0.0,240.0,240.0,0.0,0.05,9.66
30,0.0,240.0,240.0,0.0,0.05,9.673
31,0.0,160.0,160.0,0.0,0.05,9.77
32,0.0,160.0,160.0,0.0,0.05,9.735
33,0.0,160.0,160.0,0.0,0.05,9.729
34,0.0,160.0,160.0,0.0,0.05,9.804
35,0.0,240.0,240.0,0.0,0.05,9.824
36,0.0,240.0,240.0,0.0,0.05,9.853
37,0.0,240.0,240.0,0.0,0.05,9.819
38,0.0,240.0,240.0,0.0,0.05,9.877
