frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.037,304.407,240.0,0.15,0.05,0.002
1,-0.192,304.965,240.0,0.3,0.05,0.485
2,-0.164,301.391,240.0,0.15,0.05,2.335
3,-0.02,283.963,240.0,0.0,0.05,4.092
4,-0.002,283.963,240.0,-0.087,0.05,5.233
5,-0.0,283.963,240.0,-0.011,0.05,5.944
6,-0.0,283.963,240.0,-0.001,0.05,6.572
7,0.227,221.525,239.411,-0.151,0.05,7.005
8,0.028,240.0,240.0,-0.001,0.05,7.335
9,0.003,160.0,160.0,0.0,0.05,7.456
10,0.001,160.0,160.0,0.0,0.05,7.814
11,0.0,160.0,160.0,0.0,0.05,8.039
12,0.0,160.0,160.0,0.0,0.05,8.264
13,0.0,240.0,240.0,0.0,0.05,8.477
14,0.0,240.0,240.0,0.0,0.05,8.607
15,0.0,240.0,240.0,0.0,0.05,8.763
16,0.0,240.0,240.0,0.0,0.05,8.904
17,0.0,240.0,240.0,0.0,0.05,8.965
18,0.0,240.0,240.0,0.0,0.05,9.09
19,0.0,240.0,240.0,0.0,0.05,9.145
20,0.0,160.0,160.0,0.0,0.05,9.204
21,0.0,160.0,160.0,0.0,0.05,9.378
22,0.0,160.0,160.0,0.0,0.05,9.334
23,0.0,160.0,160.0,0.0,0.05,9.44
