frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.04,304.625,240.0,0.15,0.05,0.001
1,-0.195,305.32,240.0,0.3,0.05,0.544
2,-0.157,300.66,240.0,0.15,0.05,2.513
3,-0.153,300.66,240.0,0.0,0.05,4.371
4,-0.152,300.66,240.0,0.003,0.05,5.628
5,-0.152,300.66,240.0,0.005,0.05,6.472
6,0.075,229.818,239.417,-0.145,0.05,7.14
7,0.009,240.0,240.0,0.005,0.05,7.483
8,0.001,160.0,160.0,0.0,0.05,7.714
9,0.0,160.0,160.0,0.0,0.05,8.184
10,0.0,160.0,160.0,0.0,0.05,8.448
11,0.0,160.0,160.0,0.0,0.05,8.74
12,0.0,240.0,240.0,0.0,0.05,8.926
13,0.0,240.0,240.0,0.0,0.05,9.13
14,0.0,240.0,240.0,0.0,0.05,9.275
15,0.0,240.0,240.0,0.0,0.05,9.396
16,0.0,240.0,240.0,0.0,0.05,9.539
17,0.0,240.0,240.0,0.0,0.05,9.59
18,0.0,240.0,240.0,0.0,0.05,9.665
19,0.0,160.0,160.0,0.0,0.05,9.676
20,0.0,160.0,160.0,0.0,0.05,9.794
21,0.0,160.0,160.0,0.0,0.05,9.811
22,0.0,160.0,160.0,0.0,0.05,9.885
23,0.0,240.0,240.0,0.0,0.05,9.945
24,0.0,240.0,240.0,0.0,0.05,9.981
25,0.0,240.0,240.0,0.0,0.05,9.958
26,0.0,240.0,240.0,0.0,0.05,10.003
27,0.0,240.0,240.0,0.0,0.05,10.078
28,0.0,240.0,240.0,0.0,0.05,10.048
29,0.0,240.0,240.0,0.0,0.05,10.089
30,0.0,160.0,160.0,0.0,0.05,10.107
31,0.0,160.0,160.0,0.0,0.05,10.102
32,0.0,160.0,160.0,0.0,0.05,10.091
33,0.0,160.0,160.0,0.0,0.05,10.085
34,0.0,240.0,240.0,0.0,0.05,10.164
35,0.0,240.0,240.0,0.0,0.05,10.125
36,0.0,240.0,240.0,0.0,0.05,10.122
37,0.0,240.0,240.0,0.0,0.05,10.102
38,0.0,240.0,240.0,0.0,0.05,10.165
39,0.0,240.0,240.0,0.0,0.05,10.181
40,0.0,240.0,240.0,0.0,0.05,10.179
41,0.0,160.0,160.0,0.0,0.05,10.12
42,0.0,160.0,160.0,0.0,0.05,10.19
43,0.0,160.0,160.0,0.0,0.05,10.17
44,0.0,160.0,160.0,0.0,0.05,10.073
45,0.0,240.0,240.0,0.0,0.05,10.154
46,0.0,240.0,240.0,0.0,0.05,10.069
47,0.0,240.0,240.0,0.0,0.05,10.199
48,0.0,240.0,240.0,0.0,0.05,10.175
49,0.0,240.0,240.0,0.0,0.05,10.671
50,0.0,240.0,240.0,0.0,0.05,10.568
51,0.0,240.0,240.0,0.0,0.05,10.528
52,0.0,160.0,160.0,0.0,0.05,10.101
53,0.0,160.0,160.0,0.0,0.05,9.662
54,0.0,160.0,160.0,0.0,0.05,9.592
55,0.0,160.0,160.0,0.0,0.05,9.611
56,0.0,240.0,240.0,0.0,0.05,9.814
57,0.0,240.0,240.0,0.0,0.05,10.013
58,0.0,240.0,240.0,0.0,0.05,9.977
59,0.0,240.0,240.0,0.0,0.05,10.135
60,0.0,240.0,240.0,0.0,0.05,10.389
61,0.0,240.0,240.0,0.0,0.05,8.043
62,0.0,240.0,240.0,0.0,0.05,7.311
63,0.0,160.0,160.0,0.0,0.05,7.245
64,0.0,160.0,160.0,0.0,0.05,7.35
65,0.0,160.0,160.0,0.0,0.05,7.883
66,0.0,160.0,160.0,0.0,0.05,8.432
67,0.0,240.0,240.0,0.0,0.05,9.55
68,0.0,240.0,240.0,0.0,0.05,11.126
69,0.0,240.0,240.0,0.0,0.05,12.958
70,0.0,240.0,240.0,0.0,0.05,13.035
71,0.0,240.0,240.0,0.0,0.05,12.534
72,0.0,240.0,240.0,0.0,0.05,12.406
73,0.0,240.0,240.0,0.0,0.05,12.515
74,0.0,160.0,160.0,0.0,0.05,12.351
75,0.0,160.0,160.0,0.0,0.05,11.294
